task_id,condition,q01_id,q01_url,q02_id,q02_url,q03_id,q03_url,q04_id,q04_url,q05_id,q05_url,q06_id,q06_url,q07_id,q07_url,q08_id,q08_url,q09_id,q09_url,q10_id,q10_url,q11_id,q11_url,q12_id,q12_url,q13_id,q13_url
table1_pilot_01,TABLE1_PILOT_V1,q01_s01,https://mingjiequinnbao.github.io/pilot/audio/q01/s01.wav,q02_s01,https://mingjiequinnbao.github.io/pilot/audio/q02/s01.wav,q03_s01,https://mingjiequinnbao.github.io/pilot/audio/q03/s01.wav,q04_s01,https://mingjiequinnbao.github.io/pilot/audio/q04/s01.wav,q05_s01,https://mingjiequinnbao.github.io/pilot/audio/q05/s01.wav,q06_s01,https://mingjiequinnbao.github.io/pilot/audio/q06/s01.wav,q07_s01,https://mingjiequinnbao.github.io/pilot/audio/q07/s01.wav,q08_s01,https://mingjiequinnbao.github.io/pilot/audio/q08/s01.wav,q09_s01,https://mingjiequinnbao.github.io/pilot/audio/q09/s01.wav,q10_s01,https://mingjiequinnbao.github.io/pilot/audio/q10/s01.wav,q11_s01,https://mingjiequinnbao.github.io/pilot/audio/q11/s01.wav,q12_s01,https://mingjiequinnbao.github.io/pilot/audio/q12/s01.wav,q13_s01,https://mingjiequinnbao.github.io/pilot/audio/q13/s01.wav
table1_pilot_02,TABLE1_PILOT_V1,q01_s02,https://mingjiequinnbao.github.io/pilot/audio/q01/s02.wav,q02_s02,https://mingjiequinnbao.github.io/pilot/audio/q02/s02.wav,q03_s02,https://mingjiequinnbao.github.io/pilot/audio/q03/s02.wav,q04_s02,https://mingjiequinnbao.github.io/pilot/audio/q04/s02.wav,q05_s02,https://mingjiequinnbao.github.io/pilot/audio/q05/s02.wav,q06_s02,https://mingjiequinnbao.github.io/pilot/audio/q06/s02.wav,q07_s02,https://mingjiequinnbao.github.io/pilot/audio/q07/s02.wav,q08_s02,https://mingjiequinnbao.github.io/pilot/audio/q08/s02.wav,q09_s02,https://mingjiequinnbao.github.io/pilot/audio/q09/s02.wav,q10_s02,https://mingjiequinnbao.github.io/pilot/audio/q10/s02.wav,q11_s02,https://mingjiequinnbao.github.io/pilot/audio/q11/s02.wav,q12_s02,https://mingjiequinnbao.github.io/pilot/audio/q12/s02.wav,q13_s02,https://mingjiequinnbao.github.io/pilot/audio/q13/s02.wav
table1_pilot_03,TABLE1_PILOT_V1,q01_s03,https://mingjiequinnbao.github.io/pilot/audio/q01/s03.wav,q02_s03,https://mingjiequinnbao.github.io/pilot/audio/q02/s03.wav,q03_s03,https://mingjiequinnbao.github.io/pilot/audio/q03/s03.wav,q04_s03,https://mingjiequinnbao.github.io/pilot/audio/q04/s03.wav,q05_s03,https://mingjiequinnbao.github.io/pilot/audio/q05/s03.wav,q06_s03,https://mingjiequinnbao.github.io/pilot/audio/q06/s03.wav,q07_s03,https://mingjiequinnbao.github.io/pilot/audio/q07/s03.wav,q08_s03,https://mingjiequinnbao.github.io/pilot/audio/q08/s03.wav,q09_s03,https://mingjiequinnbao.github.io/pilot/audio/q09/s03.wav,q10_s03,https://mingjiequinnbao.github.io/pilot/audio/q10/s03.wav,q11_s03,https://mingjiequinnbao.github.io/pilot/audio/q11/s03.wav,q12_s03,https://mingjiequinnbao.github.io/pilot/audio/q12/s03.wav,q13_s03,https://mingjiequinnbao.github.io/pilot/audio/q13/s03.wav
table1_pilot_04,TABLE1_PILOT_V1,q01_s04,https://mingjiequinnbao.github.io/pilot/audio/q01/s04.wav,q02_s04,https://mingjiequinnbao.github.io/pilot/audio/q02/s04.wav,q03_s04,https://mingjiequinnbao.github.io/pilot/audio/q03/s04.wav,q04_s04,https://mingjiequinnbao.github.io/pilot/audio/q04/s04.wav,q05_s04,https://mingjiequinnbao.github.io/pilot/audio/q05/s04.wav,q06_s04,https://mingjiequinnbao.github.io/pilot/audio/q06/s04.wav,q07_s04,https://mingjiequinnbao.github.io/pilot/audio/q07/s04.wav,q08_s04,https://mingjiequinnbao.github.io/pilot/audio/q08/s04.wav,q09_s04,https://mingjiequinnbao.github.io/pilot/audio/q09/s04.wav,q10_s04,https://mingjiequinnbao.github.io/pilot/audio/q10/s04.wav,q11_s04,https://mingjiequinnbao.github.io/pilot/audio/q11/s04.wav,q12_s04,https://mingjiequinnbao.github.io/pilot/audio/q12/s04.wav,q13_s04,https://mingjiequinnbao.github.io/pilot/audio/q13/s04.wav
table1_pilot_05,TABLE1_PILOT_V1,q01_s05,https://mingjiequinnbao.github.io/pilot/audio/q01/s05.wav,q02_s05,https://mingjiequinnbao.github.io/pilot/audio/q02/s05.wav,q03_s05,https://mingjiequinnbao.github.io/pilot/audio/q03/s05.wav,q04_s05,https://mingjiequinnbao.github.io/pilot/audio/q04/s05.wav,q05_s05,https://mingjiequinnbao.github.io/pilot/audio/q05/s05.wav,q06_s05,https://mingjiequinnbao.github.io/pilot/audio/q06/s05.wav,q07_s05,https://mingjiequinnbao.github.io/pilot/audio/q07/s05.wav,q08_s05,https://mingjiequinnbao.github.io/pilot/audio/q08/s05.wav,q09_s05,https://mingjiequinnbao.github.io/pilot/audio/q09/s05.wav,q10_s05,https://mingjiequinnbao.github.io/pilot/audio/q10/s05.wav,q11_s05,https://mingjiequinnbao.github.io/pilot/audio/q11/s05.wav,q12_s05,https://mingjiequinnbao.github.io/pilot/audio/q12/s05.wav,q13_s05,https://mingjiequinnbao.github.io/pilot/audio/q13/s05.wav
table1_pilot_06,TABLE1_PILOT_V1,q01_s06,https://mingjiequinnbao.github.io/pilot/audio/q01/s06.wav,q02_s06,https://mingjiequinnbao.github.io/pilot/audio/q02/s06.wav,q03_s06,https://mingjiequinnbao.github.io/pilot/audio/q03/s06.wav,q04_s06,https://mingjiequinnbao.github.io/pilot/audio/q04/s06.wav,q05_s06,https://mingjiequinnbao.github.io/pilot/audio/q05/s06.wav,q06_s06,https://mingjiequinnbao.github.io/pilot/audio/q06/s06.wav,q07_s06,https://mingjiequinnbao.github.io/pilot/audio/q07/s06.wav,q08_s06,https://mingjiequinnbao.github.io/pilot/audio/q08/s06.wav,q09_s06,https://mingjiequinnbao.github.io/pilot/audio/q09/s06.wav,q10_s06,https://mingjiequinnbao.github.io/pilot/audio/q10/s06.wav,q11_s06,https://mingjiequinnbao.github.io/pilot/audio/q11/s06.wav,q12_s06,https://mingjiequinnbao.github.io/pilot/audio/q12/s06.wav,q13_s06,https://mingjiequinnbao.github.io/pilot/audio/q13/s06.wav
table1_pilot_07,TABLE1_PILOT_V1,q01_s07,https://mingjiequinnbao.github.io/pilot/audio/q01/s07.wav,q02_s07,https://mingjiequinnbao.github.io/pilot/audio/q02/s07.wav,q03_s07,https://mingjiequinnbao.github.io/pilot/audio/q03/s07.wav,q04_s07,https://mingjiequinnbao.github.io/pilot/audio/q04/s07.wav,q05_s07,https://mingjiequinnbao.github.io/pilot/audio/q05/s07.wav,q06_s07,https://mingjiequinnbao.github.io/pilot/audio/q06/s07.wav,q07_s07,https://mingjiequinnbao.github.io/pilot/audio/q07/s07.wav,q08_s07,https://mingjiequinnbao.github.io/pilot/audio/q08/s07.wav,q09_s07,https://mingjiequinnbao.github.io/pilot/audio/q09/s07.wav,q10_s07,https://mingjiequinnbao.github.io/pilot/audio/q10/s07.wav,q11_s07,https://mingjiequinnbao.github.io/pilot/audio/q11/s07.wav,q12_s07,https://mingjiequinnbao.github.io/pilot/audio/q12/s07.wav,q13_s07,https://mingjiequinnbao.github.io/pilot/audio/q13/s07.wav
table1_pilot_08,TABLE1_PILOT_V1,q01_s08,https://mingjiequinnbao.github.io/pilot/audio/q01/s08.wav,q02_s08,https://mingjiequinnbao.github.io/pilot/audio/q02/s08.wav,q03_s08,https://mingjiequinnbao.github.io/pilot/audio/q03/s08.wav,q04_s08,https://mingjiequinnbao.github.io/pilot/audio/q04/s08.wav,q05_s08,https://mingjiequinnbao.github.io/pilot/audio/q05/s08.wav,q06_s08,https://mingjiequinnbao.github.io/pilot/audio/q06/s08.wav,q07_s08,https://mingjiequinnbao.github.io/pilot/audio/q07/s08.wav,q08_s08,https://mingjiequinnbao.github.io/pilot/audio/q08/s08.wav,q09_s08,https://mingjiequinnbao.github.io/pilot/audio/q09/s08.wav,q10_s08,https://mingjiequinnbao.github.io/pilot/audio/q10/s08.wav,q11_s08,https://mingjiequinnbao.github.io/pilot/audio/q11/s08.wav,q12_s08,https://mingjiequinnbao.github.io/pilot/audio/q12/s08.wav,q13_s08,https://mingjiequinnbao.github.io/pilot/audio/q13/s08.wav
table1_pilot_09,TABLE1_PILOT_V1,q01_s09,https://mingjiequinnbao.github.io/pilot/audio/q01/s09.wav,q02_s09,https://mingjiequinnbao.github.io/pilot/audio/q02/s09.wav,q03_s09,https://mingjiequinnbao.github.io/pilot/audio/q03/s09.wav,q04_s09,https://mingjiequinnbao.github.io/pilot/audio/q04/s09.wav,q05_s09,https://mingjiequinnbao.github.io/pilot/audio/q05/s09.wav,q06_s09,https://mingjiequinnbao.github.io/pilot/audio/q06/s09.wav,q07_s09,https://mingjiequinnbao.github.io/pilot/audio/q07/s09.wav,q08_s09,https://mingjiequinnbao.github.io/pilot/audio/q08/s09.wav,q09_s09,https://mingjiequinnbao.github.io/pilot/audio/q09/s09.wav,q10_s09,https://mingjiequinnbao.github.io/pilot/audio/q10/s09.wav,q11_s09,https://mingjiequinnbao.github.io/pilot/audio/q11/s09.wav,q12_s09,https://mingjiequinnbao.github.io/pilot/audio/q12/s09.wav,q13_s09,https://mingjiequinnbao.github.io/pilot/audio/q13/s09.wav
table1_pilot_10,TABLE1_PILOT_V1,q01_s10,https://mingjiequinnbao.github.io/pilot/audio/q01/s10.wav,q02_s10,https://mingjiequinnbao.github.io/pilot/audio/q02/s10.wav,q03_s10,https://mingjiequinnbao.github.io/pilot/audio/q03/s10.wav,q04_s10,https://mingjiequinnbao.github.io/pilot/audio/q04/s10.wav,q05_s10,https://mingjiequinnbao.github.io/pilot/audio/q05/s10.wav,q06_s10,https://mingjiequinnbao.github.io/pilot/audio/q06/s10.wav,q07_s10,https://mingjiequinnbao.github.io/pilot/audio/q07/s10.wav,q08_s10,https://mingjiequinnbao.github.io/pilot/audio/q08/s10.wav,q09_s10,https://mingjiequinnbao.github.io/pilot/audio/q09/s10.wav,q10_s10,https://mingjiequinnbao.github.io/pilot/audio/q10/s10.wav,q11_s10,https://mingjiequinnbao.github.io/pilot/audio/q11/s10.wav,q12_s10,https://mingjiequinnbao.github.io/pilot/audio/q12/s10.wav,q13_s10,https://mingjiequinnbao.github.io/pilot/audio/q13/s10.wav
